input_dir,input_file,resolution,profile,level,number_of_nalus,number_of_slice_nalus,number_of_slice_header_nalus,h264nal_status,slice_header_status
mfcd,mfcddr-1.bin,1920x1088,High;Unspecified,4.1,39,17,17,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x68); error: cannot ParseNalUnitHeader in nal unit (x68); error: cannot parse buffer into NalUnit (x68); error: bitstream uses 68 unimplemented syntax structure(s), 68 NAL unit(s) left unparsed",0
mfcd,mfcddr-2.bin,1920x1088;960x544,High;Unspecified,4.1,39,17,17,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x68); error: cannot ParseNalUnitHeader in nal unit (x68); error: cannot parse buffer into NalUnit (x68); error: bitstream uses 68 unimplemented syntax structure(s), 68 NAL unit(s) left unparsed",0
mfcd,mfcdfld-1.bin,1920x1088,High;Unspecified,4.1,73,34,34,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x102); error: cannot ParseNalUnitHeader in nal unit (x102); error: cannot parse buffer into NalUnit (x102); error: bitstream uses 102 unimplemented syntax structure(s), 102 NAL unit(s) left unparsed",0
mfcd,mfcdfld-2.bin,1920x1088,High;Unspecified,4.1,73,34,34,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x136); error: cannot ParseNalUnitHeader in nal unit (x136); error: cannot parse buffer into NalUnit (x136); error: bitstream uses 136 unimplemented syntax structure(s), 136 NAL unit(s) left unparsed",0
mfcd,mfcdmfc-1.bin,1920x1088,High;Unspecified,4.1,39,17,17,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x68); error: cannot ParseNalUnitHeader in nal unit (x68); error: cannot parse buffer into NalUnit (x68); error: bitstream uses 68 unimplemented syntax structure(s), 68 NAL unit(s) left unparsed",0
mfcd,mfcdtdc-1.bin,1920x1088,High;Unspecified,4.1,39,17,17,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x68); error: cannot ParseNalUnitHeader in nal unit (x68); error: cannot parse buffer into NalUnit (x68); error: bitstream uses 68 unimplemented syntax structure(s), 68 NAL unit(s) left unparsed",0
mfcd,mfcdtdc-2.bin,1920x1088,High;Unspecified,4.1,39,17,17,"h264nal: unimplemented syntax; error: unimplemented nal_unit_header_mvc_extension() in nal_unit_header() (x68); error: cannot ParseNalUnitHeader in nal unit (x68); error: cannot parse buffer into NalUnit (x68); error: bitstream uses 68 unimplemented syntax structure(s), 68 NAL unit(s) left unparsed",0
