input_dir,input_file,resolution,profile,level,number_of_nalus,number_of_slice_nalus,number_of_slice_header_nalus,h264nal_status,slice_header_status
svc,svcbstc-1-l1.264,176x144;352x288,Constrained Baseline;Unspecified,1b;1.2,455,300,300,0,0
svc,svcbstc-1-l2.264,176x144;352x288,Constrained Baseline;Unspecified,1b;1.2;1.3,607,450,450,0,0
svc,svchcts-1.264,320x240;720x576;1280x720,Main;Unspecified,1.2;1.3;3.0;4.0,692,638,638,0,0
svc,svchcts-1-l0.264,320x240,Main,1.2,79,38,38,0,0
svc,svchcts-1-l1.264,320x240,Main;Unspecified,1.2;1.3,156,113,113,0,0
svc,svchcts-1-l2.264,320x240,Main;Unspecified,1.2;1.3,234,188,188,0,0
svc,svchcts-1-l3.264,320x240;720x576,Main;Unspecified,1.2;1.3;3.0,311,263,263,0,0
svc,svchcts-1-l4.264,320x240;720x576,Main;Unspecified,1.2;1.3;3.0,389,338,338,0,0
svc,svchcts-1-l5.264,320x240;720x576,Main;Unspecified,1.2;1.3;3.0,314,263,263,0,0
svc,svchcts-1-l6.264,320x240;720x576;1280x720,Main;Unspecified,1.2;1.3;3.0;4.0,542,488,488,0,0
svc,svchcts-1-l7.264,320x240;720x576;1280x720,Main;Unspecified,1.2;1.3;3.0;4.0,692,638,638,0,0
svc,svchics-1.264,352x288;704x576,High;Unspecified,1.3;3.1,385,300,300,0,0
svc,svchics-1-l0.264,352x288,High,1.3,153,75,75,0,0
svc,svchics-1-l1.264,352x288,High;Unspecified,1.3,230,150,150,0,0
svc,svchics-1-l2.264,352x288;704x576,High;Unspecified,1.3;3.1,307,225,225,0,0
svc,svchics-1-l3.264,352x288;704x576,High;Unspecified,1.3;3.1,384,300,300,0,0
svc,svchis-1.264,480x272;960x544;1920x1088,High;Unspecified,2.1;3.1;4.0,233,200,200,0,0
svc,svchis-1-l0.264,480x272,High,2.1,53,25,25,0,0
svc,svchis-1-l1.264,480x272;960x544,High;Unspecified,2.1;3.1,130,100,100,0,0
svc,svchis-1-l2.264,480x272;960x544;1920x1088,High;Unspecified,2.1;3.1;4.0,232,200,200,0,0
svc,svchis-2.264,640x352;1280x720;1920x1088,High;Unspecified,3.0;3.1;4.0,258,225,225,0,0
svc,svchis-2-l0.264,640x352,High,3.0,53,25,25,0,0
svc,svchis-2-l1.264,640x352;1280x720,High;Unspecified,3.0;3.1,155,125,125,0,0
svc,svchis-2-l2.264,640x352;1280x720;1920x1088,High;Unspecified,3.0;3.1;4.0,257,225,225,0,0
svc,svchis-3.264,720x576;1280x720;1920x1088,High;Unspecified,3.0;3.1;4.0,258,225,225,0,0
svc,svchis-3-l0.264,720x576,High,3.0,53,25,25,0,0
svc,svchis-3-l1.264,720x576;1280x720,High;Unspecified,3.0;3.1,155,125,125,0,0
svc,svchis-3-l2.264,720x576;1280x720;1920x1088,High;Unspecified,3.0;3.1;4.0,257,225,225,0,0
svc,svchm-1.264,352x288,High;Unspecified,2.2;3.0,1506,1200,1200,"h264nal: unimplemented syntax; error: unimplemented dec_ref_base_pic_marking() in prefix_nal_unit_svc() (x18); error: bitstream uses 18 unimplemented syntax structure(s), 18 NAL unit(s) left unparsed",0
svc,svchm-1-l0.264,352x288,High;Unspecified,2.2;3.0,606,300,300,"h264nal: unimplemented syntax; error: unimplemented dec_ref_base_pic_marking() in prefix_nal_unit_svc() (x18); error: bitstream uses 18 unimplemented syntax structure(s), 18 NAL unit(s) left unparsed",0
svc,svchm-1-l1.264,352x288,High;Unspecified,2.2;3.0,906,600,600,"h264nal: unimplemented syntax; error: unimplemented dec_ref_base_pic_marking() in prefix_nal_unit_svc() (x18); error: bitstream uses 18 unimplemented syntax structure(s), 18 NAL unit(s) left unparsed",0
svc,svchm-1-l2.264,352x288,High;Unspecified,2.2;3.0,1206,900,900,"h264nal: unimplemented syntax; error: unimplemented dec_ref_base_pic_marking() in prefix_nal_unit_svc() (x18); error: bitstream uses 18 unimplemented syntax structure(s), 18 NAL unit(s) left unparsed",0
svc,svchm-1-l3.264,352x288,High;Unspecified,2.2;3.0,1506,1200,1200,"h264nal: unimplemented syntax; error: unimplemented dec_ref_base_pic_marking() in prefix_nal_unit_svc() (x18); error: bitstream uses 18 unimplemented syntax structure(s), 18 NAL unit(s) left unparsed",0
svc,svchm-2.264,352x288,High;Unspecified,1.3,605,400,400,0,0
svc,svchm-2-l0.264,352x288,High;Unspecified,1.3,105,50,50,0,0
svc,svchm-2-l1.264,352x288,High;Unspecified,1.3,205,100,100,0,0
svc,svchm-3.264,352x288,High;Unspecified,1.3,605,400,400,0,0
svc,svchm-3-l0.264,352x288,High;Unspecified,1.3,105,50,50,0,0
svc,svchm-3-l1.264,352x288,High;Unspecified,1.3,205,100,100,0,0
svc,svchm-4.264,352x288,High;Unspecified,1.3;2.1,808,600,600,0,0
svc,svchm-4-l0.264,352x288,High;Unspecified,1.3;2.1,108,50,50,0,0
svc,svchm-4-l1.264,352x288,High;Unspecified,1.3;2.1,208,100,100,0,0
svc,svchm-4-l2.264,352x288,High;Unspecified,1.3;2.1,408,200,200,0,0
svc,svchmts-1.264,720x576;1280x720,Main;Unspecified,3.0;3.1;3.2;4.0,1588,1200,1200,0,0
svc,svchmts-1-l0.264,720x576,Main;Unspecified,3.0;3.1,383,150,150,0,0
svc,svchmts-1-l1.264,720x576,Main;Unspecified,3.0;3.1,459,226,226,0,0
svc,svchmts-1-l2.264,720x576,Main;Unspecified,3.0;3.1,609,376,376,0,0
svc,svchmts-1-l3.264,720x576;1280x720,Main;Unspecified,3.0;3.1;3.2,986,600,600,0,0
svc,svchmts-1-l4.264,720x576;1280x720,Main;Unspecified,3.0;3.1;3.2;4.0,1364,976,976,0,0
svc,svchmts-1-l5.264,720x576;1280x720,Main;Unspecified,3.0;3.1;3.2;4.0,1588,1200,1200,0,0
svc,svchmts-2.264,352x288;704x576,High;Unspecified,1.3;3.1,308,225,225,0,0
svc,svchmts-2-l0.264,352x288,High;Unspecified,1.3,155,75,75,0,0
svc,svchmts-2-l1.264,352x288,High;Unspecified,1.3,230,150,150,0,0
svc,svchmts-2-l2.264,352x288;704x576,High;Unspecified,1.3;3.1,307,225,225,0,0
svc,svchs-1.264,352x288;720x576,Constrained Baseline;Unspecified,2.1;3.1,306,200,200,0,0
svc,svchs-1-l0.264,352x288,Constrained Baseline,2.1,203,100,100,0,0
svc,svchs-1-l1.264,352x288;720x576,Constrained Baseline;Unspecified,2.1;3.1,306,200,200,0,0
svc,svchs-2.264,320x240;720x576,High;Unspecified,1.3;3.1,306,200,200,0,0
svc,svchs-2-l0.264,320x240,High,1.3,203,100,100,0,0
svc,svchs-2-l1.264,320x240;720x576,High;Unspecified,1.3;3.1,306,200,200,0,0
svc,svchst-1.264,720x576;1280x720;1920x1072,Main;Unspecified,3.0;3.2;4.2,1358,1200,1200,0,0
svc,svchst-1-l0.264,720x576,Main,3.0,303,150,150,0,0
svc,svchst-1-l1.264,720x576;1280x720,Main;Unspecified,3.0;3.2,755,600,600,0,0
svc,svchst-1-l2.264,720x576;1280x720;1920x1072,Main;Unspecified,3.0;3.2;4.2,1358,1200,1200,0,0
svc,svchst-2.264,720x576;1280x720;1920x1072,Main;Unspecified,3.0;3.2;4.2,1359,1200,1200,0,0
svc,svchst-2-l0.264,720x576,Main,3.0,303,150,150,0,0
svc,svchst-2-l1.264,720x576;1280x720,Main;Unspecified,3.0;3.2,756,600,600,0,0
svc,svchst-2-l2.264,720x576;1280x720;1920x1072,Main;Unspecified,3.0;3.2;4.2,1359,1200,1200,0,0
svc,svchst-3.264,720x576;1280x720,High;Unspecified,3.1;5.0,206,150,150,0,0
svc,svchst-3-l0.264,720x576,High,3.1,103,50,50,0,0
svc,svchst-3-l1.264,720x576;1280x720,High;Unspecified,3.1;5.0,206,150,150,0,0
svc,svchst-4.264,544x576;720x576,High;Unspecified,3.0;3.1,206,150,150,0,0
svc,svchst-4-l0.264,544x576,High,3.0,103,50,50,0,0
svc,svchst-4-l1.264,544x576;720x576,High;Unspecified,3.0;3.1,206,150,150,0,0
svc,svchstc-1.264,352x288;704x576,High;Unspecified,1.3;3.1,308,225,225,0,0
svc,svchstc-1-l0.264,352x288,High;Unspecified,1.3,155,75,75,0,0
svc,svchstc-1-l1.264,352x288,High;Unspecified,1.3,230,150,150,0,0
svc,svchstc-1-l2.264,352x288;704x576,High;Unspecified,1.3;3.1,307,225,225,0,0
